,Date of Sale,Menu Name,Net Sales,Sales Quantity
1,Total,Chocolate Cream Doughnut,2053.43,510.
2,Total,Corn Cheese Donut,1447.27,435.
3,Total,Croquette,3138.64,832.
4,Total,Curry Croquette,4543.27,1201.
5,Total,Frank Roll,35.55,9.
6,Total,Kimchi Croquette,2533.8,671.
7,Total,Mango Cream Doughnut,2825.88,703.
8,Total,Redbean Donut,954.84,314.
9,Total,Sesame Donut,1135.19,420.
10,Total,Sweet Cream Donut,243.12,66.
11,Total,Sweet Rice Donut,1362.2,502.
12,Total,Twist Donut,1763.33,633.
13,Total,Vanilla Cream Doughnut,55.3,14.
14,Total,Baguette,335.47,96.
15,Total,French Baguette,306.6,88.
16,Total,Walnut Cream Baguette,420.01,86.
17,Total,Chestnut Pan Bread,433.32,68.
18,Total,Mascarpone Whipped Cream Loaf,616.35,90.
19,Total,Multi-Grain Plant-Based Loaf,364.,52.
20,Total,Olive Basil Plant-Based Loaf,257.6,37.
21,Total,Purple Sweet Potato Loaf,581.,84.
22,Total,Raisin Bread,51.3,7.
23,Total,Whole Milk Loaf,1253.,183.
24,Total,Chocolate Pretzel Pastry,1100.32,310.
25,Total,Almond Croissant,2632.87,617.
26,Total,Apple Jam Mont Blanc Pastry,5.5,1.
27,Total,Blueberry Jam Mont Blanc Pastry,377.42,53.
28,Total,Caramel Almond Pastry,666.94,180.
29,Total,Caramel Apple Pie,2663.88,708.
30,Total,Chocolate Avalanche,2265.69,570.
31,Total,Chocolate Croissant,1915.92,451.
32,Total,Cocoa Hazelnut Croissant,1018.15,238.
33,Total,Cranberry Cream Cheese Scone,465.,187.
34,Total,Cream Cheese Pastry,24.75,9.
35,Total,Cream Puff Pastry,733.51,197.
36,Total,Crispy Almond Pastry,2094.36,556.
37,Total,Croissant,2579.46,791.
38,Total,Custard & Almond Pretzel Pastry,625.17,176.
39,Total,Elotes Pastry,1080.15,272.
40,Total,Frank Pastry,1461.08,372.
41,Total,Fruit Pastry,23.6,8.
42,Total,Garlic & Cheese Croissant,933.08,221.
43,Total,Grapes n Berries Pastry,15.8,4.
44,Total,Greek Yogurt Cherry Danish,1507.98,403.
45,Total,Guava Danish,1989.2,534.
46,Total,Ham & Cheese Pastry,21.25,5.
47,Total,Jalapeno Cheese Croissant,419.05,99.
48,Total,Mini Apple Danish Trio,1137.18,267.
49,Total,Mixed Berry Danish,743.5,151.
50,Total,Mont Blanc Pastry,716.4,120.
51,Total,Mushroom Onion Cheese Pastry,7.5,2.
52,Total,Pain Au Chocolat,3261.56,867.
53,Total,Pain Aux Raisin,804.1,213.
54,Total,Pineapple Cream Cheese Scone,454.24,184.
55,Total,Portuguese Egg Tart,1864.35,577.
56,Total,Raspberry Pretzel Pastry,215.4,62.
57,Total,Sausage Onion Pastry,159.58,42.
58,Total,Spinach Feta Danish,3346.9,851.
59,Total,Strawberry Croissant,1322.85,275.
60,Total,Sweet Cheese and Blueberry Danish,1631.02,434.
61,Total,Yuzu Pie,2493.02,593.
62,Total,Baby Choux,465.3,104.
63,Total,Banana Soft,786.8,228.
64,Total,Belgium Waffle,790.64,227.
65,Total,Blueberry Cream Cheese Bread,1514.47,426.
66,Total,Blueberry Muffin w/ Blueberry filling,227.72,58.
67,Total,Blueberry Muffin with crumble,245.,70.
68,Total,Butter Cream Bread,263.25,40.
69,Total,Chocolate Dipped Waffle,1447.2,364.
70,Total,Chocolate Muffin w/ Hazelnut filling,290.91,74.
71,Total,Cranberry Cream Cheese Bread,1261.12,385.
72,Total,Cream Cheese Walnut Bread,24.5,7.
73,Total,Croque Monsieur,3332.55,719.
74,Total,Custard Bun,1303.93,429.
75,Total,Custard Cream Soboro,1231.25,350.
76,Total,Double Chocolate Muffin,251.3,72.
77,Total,Foliage Sausage Bread,3444.16,709.
78,Total,Garlic Cream Cheese Bread,2186.8,402.
79,Total,Garlic Ham Cheese Bread,38.25,9.
80,Total,Garlic Sausage Block,4.75,1.
81,Total,Garlic Stick,120.45,41.
82,Total,Honey Cheese Pancake,2209.91,453.
83,Total,Honeydew Melon Soft,1004.49,293.
84,Total,Milk Cream Bread,1943.65,603.
85,Total,Milk Soft Bread,934.67,269.
86,Total,Milky bread,74.7,17.
87,Total,Mini Butter Cream Bread,245.12,99.
88,Total,Mocha Bread,145.95,22.
89,Total,Mocha Cream Bread,765.27,156.
90,Total,Morning Bread,845.31,139.
91,Total,Nutty Cream Stick Bread,664.7,158.
